Date,19A,19B,20A,20B,20C
12/26/2019,2,0,0,0,0
1/8/2020,1,0,0,0,0
1/13/2020,1,0,0,0,0
1/21/2020,2,0,0,0,0
1/22/2020,1,0,0,0,0
1/23/2020,2,0,0,0,0
1/24/2020,2,0,0,0,0
1/25/2020,1,0,0,0,0
1/27/2020,2,0,0,0,0
1/28/2020,2,0,0,0,0
1/29/2020,5,3,0,0,0
1/30/2020,2,1,0,0,0
1/31/2020,1,0,0,0,0
2/1/2020,3,0,0,0,0
2/3/2020,0,1,0,0,0
2/4/2020,2,0,0,0,0
2/6/2020,1,0,0,0,0
2/9/2020,2,0,0,0,0
2/11/2020,0,1,0,0,0
2/13/2020,1,0,0,0,0
2/14/2020,1,0,0,0,0
2/15/2020,1,0,0,0,0
2/16/2020,3,0,0,0,0
2/17/2020,1,0,0,0,0
2/20/2020,1,0,1,0,0
2/22/2020,0,1,0,0,0
2/23/2020,2,0,0,0,0
2/24/2020,2,0,5,2,0
2/25/2020,6,0,1,0,0
2/26/2020,6,0,3,2,0
2/27/2020,8,0,4,3,0
2/28/2020,10,0,4,5,1
2/29/2020,9,0,12,2,1
3/1/2020,1,0,0,1,0
3/2/2020,2,0,1,1,0
3/3/2020,0,0,2,1,0
3/4/2020,2,1,4,1,0
3/5/2020,1,0,0,1,0
3/6/2020,0,0,1,0,0
3/7/2020,0,0,2,1,0
3/8/2020,0,0,0,0,1
3/9/2020,2,0,1,0,0
3/10/2020,4,0,2,3,0
3/11/2020,4,2,2,3,0
3/12/2020,2,0,4,0,0
3/13/2020,4,1,5,1,1
3/14/2020,1,0,1,0,2
3/15/2020,1,0,2,1,0
3/16/2020,6,0,5,4,1
3/17/2020,4,1,2,1,1
3/18/2020,5,0,2,3,2
3/19/2020,4,1,5,6,0
3/20/2020,6,0,4,4,0
3/21/2020,7,0,1,4,0
3/22/2020,3,0,2,2,0
3/23/2020,12,0,5,8,1
3/24/2020,14,1,2,8,1
3/25/2020,6,0,5,7,0
3/26/2020,10,0,6,5,2
3/27/2020,5,0,5,6,1
3/28/2020,5,0,2,6,2
3/29/2020,4,1,5,5,0
3/30/2020,1,0,9,14,1
3/31/2020,4,2,8,7,0
4/1/2020,1,0,6,9,0
4/2/2020,3,0,4,4,2
4/3/2020,2,0,6,6,0
4/4/2020,0,0,9,5,0
4/5/2020,1,0,2,4,0
4/6/2020,3,0,2,5,0
4/7/2020,3,0,5,4,0
4/8/2020,3,0,6,9,0
4/9/2020,1,0,5,4,2
4/10/2020,2,0,6,5,0
4/11/2020,3,0,4,6,0
4/12/2020,0,0,5,4,0
4/13/2020,0,0,0,7,1
4/14/2020,1,0,3,5,0
4/15/2020,2,1,3,3,0
4/16/2020,1,1,6,3,1
4/17/2020,1,1,6,8,0
4/18/2020,0,0,4,2,0
4/19/2020,1,0,1,1,1
4/20/2020,1,0,2,9,0
4/21/2020,1,0,5,7,1
4/22/2020,1,0,3,6,0
4/23/2020,2,0,0,4,1
4/24/2020,0,0,2,8,2
4/25/2020,0,1,2,3,0
4/26/2020,0,0,0,3,2
4/27/2020,0,0,6,9,0
4/28/2020,0,0,3,2,3
4/29/2020,1,0,3,8,0
4/30/2020,0,0,4,1,0
5/1/2020,1,0,7,10,1
5/2/2020,0,0,3,10,0
5/3/2020,1,0,5,4,0
5/4/2020,2,0,3,9,3
5/5/2020,1,1,2,8,1
5/6/2020,0,0,9,9,1
5/7/2020,0,0,9,7,1
5/8/2020,1,0,5,4,0
5/9/2020,0,0,6,5,0
5/10/2020,0,0,2,4,0
5/11/2020,0,0,5,6,1
5/12/2020,1,0,4,4,0
5/13/2020,3,0,3,4,1
5/14/2020,1,1,5,11,1
5/15/2020,1,0,2,6,1
5/16/2020,0,0,1,4,0
5/17/2020,0,0,3,4,0
5/18/2020,2,0,5,9,0
5/19/2020,1,0,3,8,1
5/20/2020,0,0,2,3,0
5/21/2020,0,0,6,2,0
5/22/2020,0,1,2,6,0
5/23/2020,0,0,1,5,1
5/24/2020,0,0,0,1,0
5/25/2020,0,0,3,4,0
5/26/2020,0,0,1,3,0
5/27/2020,1,0,3,6,1
5/28/2020,0,0,0,3,0
5/29/2020,0,0,1,4,0
5/30/2020,0,0,1,1,0
5/31/2020,0,0,0,0,1
6/1/2020,0,0,5,1,0
6/2/2020,0,3,14,9,1
6/3/2020,4,0,1,11,1
6/4/2020,4,1,6,7,4
6/5/2020,1,1,11,5,5
6/6/2020,0,0,6,7,0
6/7/2020,0,0,2,14,0
6/8/2020,3,0,6,17,3
6/9/2020,1,0,11,17,0
6/10/2020,0,1,10,7,1
6/11/2020,0,0,8,13,2
6/12/2020,0,0,3,7,1
6/13/2020,0,0,4,9,0
6/14/2020,0,0,2,6,1
6/15/2020,0,0,4,13,9
6/16/2020,2,1,3,13,3
6/17/2020,2,0,8,21,4
6/18/2020,0,0,3,11,1
6/19/2020,0,0,6,10,3
6/20/2020,0,0,3,8,0
6/21/2020,0,0,1,14,0
6/22/2020,2,1,2,1,3
6/23/2020,2,0,13,9,1
6/24/2020,0,0,10,10,0
6/25/2020,0,0,6,6,2
6/26/2020,0,0,16,13,4
